crop,season,soil_moisture_pct,temperature,rainfall_forecast_mm,irrigation_needed,water_liters_per_sqm,irrigation_schedule
rice,Kharif,59.6,26.87,82.3,No,0.0,Every 4-6 days
mothbeans,Zaid,65.6,27.6,46.2,No,0.0,Every 4-6 days
mothbeans,Kharif,38.6,33.54,16.5,Yes,14.01,Every 4-6 days
mungbean,Rabi,48.1,26.9,69.9,No,0.0,Every 4-6 days
lentil,Zaid,26.5,28.96,75.9,No,0.0,Every 4-6 days
muskmelon,Zaid,57.0,27.77,7.4,Yes,18.29,Every 1-3 days
pigeonpeas,Kharif,44.7,25.75,19.5,Yes,11.47,Every 4-6 days
maize,Kharif,63.7,25.28,24.9,Yes,10.35,Every 4-6 days
pigeonpeas,Kharif,60.9,31.93,5.5,Yes,12.28,Every 4-6 days
coffee,Rabi,41.0,33.9,13.6,Yes,13.03,Every 4-6 days
mango,Kharif,58.7,22.56,67.0,No,0.0,Every 4-6 days
rice,Rabi,70.3,24.65,28.9,Yes,13.26,Every 4-6 days
chickpea,Zaid,27.8,33.76,16.3,Yes,12.89,Every 1-3 days
pomegranate,Rabi,54.8,22.27,215.0,No,0.0,Every 7-10 days
chickpea,Kharif,20.3,33.51,70.4,No,0.0,Every 4-6 days
papaya,Zaid,63.3,24.71,13.6,Yes,9.65,Every 4-6 days
orange,Kharif,72.2,19.47,7.6,Yes,9.3,Every 4-6 days
kidneybeans,Zaid,45.7,33.6,39.9,Yes,12.37,Every 4-6 days
kidneybeans,Kharif,23.9,34.1,71.2,No,0.0,Every 4-6 days
watermelon,Kharif,50.6,28.62,27.0,Yes,14.79,Every 1-3 days
orange,Kharif,40.9,25.74,46.4,No,0.0,Every 4-6 days
mango,Zaid,41.0,27.26,54.7,No,0.0,Every 4-6 days
coconut,Rabi,25.4,26.11,105.8,No,0.0,Every 4-6 days
mungbean,Zaid,72.8,23.87,42.3,No,0.0,Every 4-6 days
mungbean,Rabi,23.6,28.15,3.3,Yes,14.29,Every 1-3 days
grapes,Zaid,43.3,39.11,24.2,Yes,13.14,Every 4-6 days
mungbean,Kharif,46.9,30.07,34.4,Yes,13.0,Every 4-6 days
mothbeans,Kharif,35.8,38.19,130.5,No,0.0,Every 4-6 days
kidneybeans,Kharif,69.5,29.04,8.9,Yes,10.11,Every 4-6 days
coffee,Rabi,39.3,33.94,34.2,Yes,13.08,Every 4-6 days
chickpea,Kharif,42.6,34.44,64.9,No,0.0,Every 4-6 days
orange,Kharif,39.6,33.7,45.8,No,0.0,Every 4-6 days
lentil,Rabi,44.5,31.38,10.6,Yes,14.53,Every 4-6 days
jute,Kharif,63.3,25.42,77.4,No,0.0,Every 4-6 days
coffee,Rabi,56.0,27.12,20.9,Yes,10.79,Every 4-6 days
muskmelon,Kharif,28.4,27.75,122.7,No,0.0,Every 1-3 days
blackgram,Zaid,37.5,27.24,49.5,No,0.0,Every 4-6 days
cotton,Kharif,30.5,31.66,49.5,No,0.0,Every 4-6 days
rice,Rabi,52.8,29.25,48.4,No,0.0,Every 1-3 days
chickpea,Rabi,40.8,32.62,24.7,Yes,14.31,Every 4-6 days
papaya,Zaid,27.3,31.98,74.1,No,0.0,Every 4-6 days
pigeonpeas,Rabi,54.0,27.07,16.0,Yes,11.71,Every 4-6 days
coconut,Kharif,47.2,23.53,27.9,Yes,9.83,Every 4-6 days
lentil,Rabi,53.5,36.92,16.8,Yes,11.97,Every 4-6 days
cotton,Kharif,65.0,25.82,52.9,No,0.0,Every 4-6 days
coconut,Kharif,57.0,19.55,27.8,Yes,7.59,Every 4-6 days
watermelon,Zaid,16.3,35.71,63.3,No,0.0,Every 1-3 days
grapes,Kharif,29.3,32.81,38.6,Yes,13.34,Every 4-6 days
watermelon,Rabi,40.8,40.63,52.0,No,0.0,Every 1-3 days
pomegranate,Rabi,52.6,25.69,30.7,Yes,11.7,Every 4-6 days
cotton,Kharif,32.1,35.1,64.3,No,0.0,Every 4-6 days
jute,Zaid,5.0,27.62,106.2,No,0.0,Every 1-3 days
papaya,Kharif,43.9,25.83,40.2,No,0.0,Every 4-6 days
apple,Zaid,47.2,40.95,22.1,Yes,14.39,Every 4-6 days
pigeonpeas,Zaid,18.6,31.67,89.1,No,0.0,Every 4-6 days
mungbean,Kharif,44.7,24.96,25.1,Yes,13.06,Every 4-6 days
pigeonpeas,Rabi,52.3,27.95,21.2,Yes,10.42,Every 4-6 days
blackgram,Rabi,59.2,24.9,60.8,No,0.0,Every 4-6 days
lentil,Kharif,27.2,24.46,140.5,No,0.0,Every 4-6 days
papaya,Kharif,44.6,32.66,97.7,No,0.0,Every 4-6 days
banana,Zaid,62.1,35.34,14.4,Yes,14.8,Every 1-3 days
apple,Zaid,40.9,29.88,60.6,No,0.0,Every 4-6 days
mungbean,Kharif,42.6,23.75,154.6,No,0.0,Every 4-6 days
coffee,Zaid,17.6,27.09,2.2,Yes,14.21,Every 1-3 days
jute,Kharif,42.6,26.18,34.5,Yes,14.12,Every 1-3 days
cotton,Zaid,36.0,21.49,89.7,No,0.0,Every 4-6 days
jute,Rabi,38.8,24.48,29.7,Yes,16.59,Every 1-3 days
maize,Zaid,45.5,34.17,92.2,No,0.0,Every 4-6 days
mango,Zaid,35.5,19.9,32.0,Yes,10.3,Every 4-6 days
pigeonpeas,Zaid,30.7,27.32,30.6,Yes,11.85,Every 4-6 days
kidneybeans,Rabi,45.1,28.34,7.2,Yes,14.02,Every 4-6 days
papaya,Kharif,43.6,35.51,80.9,No,0.0,Every 4-6 days
maize,Rabi,54.8,30.38,59.6,No,0.0,Every 4-6 days
chickpea,Zaid,64.4,24.15,79.3,No,0.0,Every 4-6 days
chickpea,Kharif,52.8,32.48,11.0,Yes,12.65,Every 4-6 days
lentil,Rabi,52.6,20.45,102.5,No,0.0,Every 4-6 days
lentil,Zaid,65.5,26.72,19.1,Yes,11.25,Every 4-6 days
rice,Zaid,33.5,25.76,92.1,No,0.0,Every 1-3 days
watermelon,Rabi,56.1,25.06,15.9,Yes,14.69,Every 1-3 days
grapes,Kharif,41.8,26.95,15.5,Yes,12.52,Every 4-6 days
chickpea,Zaid,49.7,33.4,69.6,No,0.0,Every 4-6 days
apple,Kharif,61.6,22.94,118.9,No,0.0,Every 7-10 days
coconut,Kharif,61.3,30.77,40.8,No,0.0,Every 4-6 days
mothbeans,Zaid,32.8,27.06,5.0,Yes,12.93,Every 4-6 days
watermelon,Rabi,49.1,25.34,79.1,No,0.0,Every 4-6 days
rice,Kharif,18.6,24.81,56.5,No,0.0,Every 1-3 days
cotton,Rabi,65.8,31.73,46.3,No,0.0,Every 4-6 days
orange,Rabi,63.2,36.25,37.8,Yes,11.24,Every 4-6 days
banana,Rabi,62.6,16.06,58.1,No,0.0,Every 4-6 days
blackgram,Kharif,38.3,33.42,33.8,Yes,13.16,Every 4-6 days
rice,Rabi,49.7,28.58,74.2,No,0.0,Every 1-3 days
orange,Rabi,34.6,27.58,48.1,No,0.0,Every 4-6 days
maize,Kharif,31.9,29.6,50.2,No,0.0,Every 4-6 days
rice,Kharif,33.0,27.56,53.0,No,0.0,Every 1-3 days
mothbeans,Kharif,28.1,26.83,34.7,Yes,13.2,Every 4-6 days
lentil,Rabi,64.7,27.68,81.4,No,0.0,Every 4-6 days
papaya,Rabi,75.9,24.43,86.6,No,0.0,Every 7-10 days
cotton,Zaid,42.0,19.7,57.5,No,0.0,Every 4-6 days
chickpea,Kharif,37.3,39.04,9.8,Yes,15.34,Every 1-3 days
lentil,Kharif,49.9,26.25,24.2,Yes,11.49,Every 4-6 days
rice,Zaid,15.2,19.92,10.2,Yes,16.75,Every 1-3 days
coconut,Zaid,28.2,25.37,39.6,Yes,13.28,Every 4-6 days
mango,Kharif,47.9,21.74,7.7,Yes,11.26,Every 4-6 days
watermelon,Zaid,39.6,27.97,27.6,Yes,16.29,Every 1-3 days
grapes,Zaid,53.1,24.6,19.5,Yes,11.43,Every 4-6 days
orange,Rabi,68.3,25.15,90.3,No,0.0,Every 4-6 days
coconut,Rabi,26.5,35.24,39.7,Yes,14.14,Every 1-3 days
rice,Zaid,23.5,34.84,237.1,No,0.0,Every 4-6 days
mungbean,Rabi,41.1,26.82,54.1,No,0.0,Every 4-6 days
papaya,Kharif,86.6,28.53,85.9,No,0.0,Every 7-10 days
coffee,Kharif,56.0,22.65,15.0,Yes,8.57,Every 4-6 days
apple,Kharif,51.2,42.33,56.7,No,0.0,Every 4-6 days
cotton,Kharif,68.5,34.47,11.9,Yes,11.07,Every 4-6 days
kidneybeans,Kharif,7.0,34.95,128.9,No,0.0,Every 4-6 days
pomegranate,Rabi,37.1,31.17,11.8,Yes,13.23,Every 4-6 days
coconut,Rabi,47.1,30.85,18.1,Yes,14.53,Every 4-6 days
mango,Rabi,23.5,26.26,86.0,No,0.0,Every 4-6 days
orange,Kharif,48.6,28.24,21.1,Yes,11.14,Every 4-6 days
mango,Zaid,24.8,27.12,15.4,Yes,13.86,Every 4-6 days
apple,Rabi,40.8,33.7,11.3,Yes,13.7,Every 4-6 days
banana,Zaid,39.2,40.12,93.5,No,0.0,Every 1-3 days
coconut,Rabi,32.2,22.65,68.9,No,0.0,Every 4-6 days
pigeonpeas,Zaid,33.5,27.73,60.3,No,0.0,Every 4-6 days
papaya,Zaid,39.4,33.14,23.5,Yes,13.2,Every 4-6 days
jute,Kharif,40.4,30.78,10.0,Yes,17.7,Every 1-3 days
maize,Rabi,57.6,26.75,13.4,Yes,10.5,Every 4-6 days
mothbeans,Zaid,54.5,26.92,59.9,No,0.0,Every 4-6 days
kidneybeans,Kharif,56.0,26.46,12.7,Yes,12.26,Every 4-6 days
pomegranate,Zaid,29.1,30.82,70.0,No,0.0,Every 4-6 days
apple,Rabi,69.1,29.01,11.5,Yes,10.84,Every 4-6 days
chickpea,Rabi,85.3,27.51,74.8,No,0.0,Every 7-10 days
mungbean,Rabi,47.8,18.75,95.1,No,0.0,Every 4-6 days
coconut,Kharif,30.1,23.85,7.5,Yes,11.47,Every 4-6 days
maize,Kharif,51.8,24.49,7.1,Yes,10.55,Every 4-6 days
mungbean,Zaid,43.0,25.73,62.6,No,0.0,Every 4-6 days
rice,Rabi,64.7,24.6,91.1,No,0.0,Every 4-6 days
grapes,Rabi,52.3,28.3,93.9,No,0.0,Every 4-6 days
cotton,Rabi,31.1,37.44,67.4,No,0.0,Every 4-6 days
coconut,Zaid,33.7,24.57,14.8,Yes,11.34,Every 4-6 days
blackgram,Kharif,24.8,33.32,39.9,Yes,14.7,Every 4-6 days
watermelon,Zaid,24.8,27.13,35.3,Yes,17.98,Every 1-3 days
coconut,Rabi,65.1,25.76,17.9,Yes,10.82,Every 4-6 days
mango,Kharif,51.6,30.12,55.1,No,0.0,Every 4-6 days
pomegranate,Rabi,45.8,26.12,24.3,Yes,10.59,Every 4-6 days
watermelon,Kharif,39.6,21.72,156.6,No,0.0,Every 4-6 days
coconut,Kharif,48.7,26.81,23.8,Yes,11.14,Every 4-6 days
pomegranate,Rabi,42.4,24.92,61.7,No,0.0,Every 4-6 days
muskmelon,Rabi,47.1,23.63,16.0,Yes,17.81,Every 1-3 days
cotton,Zaid,47.1,30.48,32.6,Yes,13.37,Every 4-6 days
papaya,Kharif,35.4,21.54,34.7,Yes,10.7,Every 4-6 days
cotton,Kharif,67.2,31.47,12.2,Yes,10.42,Every 4-6 days
muskmelon,Rabi,59.9,32.42,20.8,Yes,17.13,Every 1-3 days
pomegranate,Zaid,44.3,26.71,194.6,No,0.0,Every 7-10 days
watermelon,Kharif,58.1,28.36,21.9,Yes,15.32,Every 1-3 days
blackgram,Rabi,46.8,31.39,3.6,Yes,12.48,Every 4-6 days
orange,Kharif,41.4,22.04,29.9,Yes,10.26,Every 4-6 days
blackgram,Kharif,29.2,26.42,22.3,Yes,13.53,Every 4-6 days
orange,Zaid,38.6,31.86,6.9,Yes,13.48,Every 4-6 days
chickpea,Zaid,30.1,30.03,51.1,No,0.0,Every 4-6 days
pomegranate,Rabi,65.9,32.11,43.9,No,0.0,Every 4-6 days
grapes,Rabi,46.0,26.72,39.4,Yes,10.47,Every 4-6 days
muskmelon,Rabi,34.0,24.35,21.2,Yes,18.28,Every 1-3 days
grapes,Zaid,56.1,25.22,83.8,No,0.0,Every 4-6 days
orange,Rabi,17.1,23.57,85.3,No,0.0,Every 4-6 days
cotton,Zaid,50.0,21.56,31.6,Yes,10.25,Every 4-6 days
muskmelon,Kharif,43.9,30.43,135.6,No,0.0,Every 4-6 days
mungbean,Kharif,37.2,33.76,65.8,No,0.0,Every 4-6 days
maize,Zaid,44.6,28.14,26.2,Yes,12.59,Every 4-6 days
maize,Rabi,48.1,28.83,16.3,Yes,12.05,Every 4-6 days
pigeonpeas,Rabi,58.9,24.24,4.9,Yes,10.32,Every 4-6 days
maize,Rabi,27.6,29.88,52.9,No,0.0,Every 4-6 days
apple,Zaid,59.1,32.45,45.0,No,0.0,Every 4-6 days
mothbeans,Rabi,60.6,28.18,38.2,Yes,9.51,Every 4-6 days
jute,Zaid,52.2,17.47,147.8,No,0.0,Every 4-6 days
grapes,Kharif,62.6,34.81,10.5,Yes,11.96,Every 4-6 days
lentil,Kharif,59.6,22.51,54.7,No,0.0,Every 4-6 days
apple,Kharif,44.1,27.97,10.1,Yes,13.85,Every 4-6 days
chickpea,Kharif,65.3,26.82,40.0,No,0.0,Every 4-6 days
mungbean,Rabi,27.4,27.03,39.3,Yes,12.82,Every 4-6 days
mungbean,Kharif,27.2,32.42,28.3,Yes,15.04,Every 4-6 days
lentil,Rabi,41.7,30.42,40.2,No,0.0,Every 4-6 days
muskmelon,Rabi,68.3,31.97,24.4,Yes,14.87,Every 1-3 days
blackgram,Kharif,35.2,21.42,40.5,No,0.0,Every 4-6 days
grapes,Rabi,51.3,27.27,61.8,No,0.0,Every 4-6 days
pigeonpeas,Zaid,43.1,21.43,50.9,No,0.0,Every 4-6 days
jute,Kharif,35.9,23.25,53.1,No,0.0,Every 1-3 days
mothbeans,Kharif,26.5,31.3,30.2,Yes,15.12,Every 4-6 days
pomegranate,Kharif,48.3,21.97,45.1,No,0.0,Every 4-6 days
kidneybeans,Kharif,50.3,27.57,5.1,Yes,13.34,Every 4-6 days
watermelon,Rabi,42.2,27.55,56.4,No,0.0,Every 1-3 days
lentil,Rabi,32.0,37.1,79.3,No,0.0,Every 4-6 days
mothbeans,Zaid,70.4,32.59,36.0,Yes,10.8,Every 4-6 days
kidneybeans,Zaid,41.9,28.18,117.6,No,0.0,Every 4-6 days
apple,Rabi,48.6,30.84,16.5,Yes,12.54,Every 4-6 days
chickpea,Rabi,34.7,32.25,36.4,Yes,14.18,Every 4-6 days
apple,Kharif,55.7,30.58,11.5,Yes,12.75,Every 4-6 days
mungbean,Kharif,58.2,27.09,33.4,Yes,11.25,Every 4-6 days
orange,Rabi,20.8,27.35,47.1,No,0.0,Every 4-6 days
mungbean,Kharif,6.9,22.91,16.9,Yes,13.85,Every 1-3 days
rice,Kharif,21.5,19.1,12.9,Yes,18.69,Every 1-3 days
watermelon,Zaid,68.8,26.46,8.5,Yes,15.84,Every 1-3 days
kidneybeans,Kharif,59.0,20.83,59.1,No,0.0,Every 4-6 days
banana,Rabi,50.7,35.65,83.5,No,0.0,Every 1-3 days
muskmelon,Rabi,37.6,18.79,50.2,No,0.0,Every 1-3 days
cotton,Zaid,37.2,27.74,78.9,No,0.0,Every 4-6 days
pigeonpeas,Zaid,46.8,25.34,39.0,Yes,10.9,Every 4-6 days
jute,Rabi,47.0,20.32,7.0,Yes,15.71,Every 1-3 days
apple,Kharif,14.3,25.58,58.2,No,0.0,Every 4-6 days
rice,Zaid,59.7,33.7,55.6,No,0.0,Every 1-3 days
rice,Rabi,22.2,29.42,8.6,Yes,19.83,Every 1-3 days
muskmelon,Kharif,57.1,31.04,171.2,No,0.0,Every 4-6 days
mungbean,Kharif,51.7,37.27,27.0,Yes,11.62,Every 4-6 days
chickpea,Kharif,57.7,34.49,81.1,No,0.0,Every 4-6 days
orange,Kharif,45.6,25.05,40.1,No,0.0,Every 4-6 days
mothbeans,Rabi,57.1,29.6,24.8,Yes,12.56,Every 4-6 days
papaya,Zaid,16.1,25.22,47.3,No,0.0,Every 4-6 days
orange,Kharif,43.6,32.22,80.8,No,0.0,Every 4-6 days
banana,Rabi,42.7,21.73,13.4,Yes,17.39,Every 1-3 days
kidneybeans,Zaid,53.8,23.44,11.0,Yes,9.06,Every 4-6 days
orange,Kharif,30.5,20.93,76.3,No,0.0,Every 4-6 days
muskmelon,Zaid,38.5,34.4,104.6,No,0.0,Every 1-3 days
lentil,Zaid,58.5,27.95,34.4,Yes,12.01,Every 4-6 days
watermelon,Kharif,58.5,23.55,26.4,Yes,13.87,Every 4-6 days
watermelon,Kharif,57.6,18.78,63.2,No,0.0,Every 4-6 days
lentil,Rabi,58.4,31.39,49.4,No,0.0,Every 4-6 days
cotton,Rabi,44.8,32.64,13.3,Yes,12.88,Every 4-6 days
orange,Rabi,56.2,28.91,61.1,No,0.0,Every 4-6 days
pomegranate,Zaid,44.1,31.72,21.4,Yes,10.97,Every 4-6 days
kidneybeans,Rabi,73.2,40.55,21.2,Yes,11.59,Every 4-6 days
chickpea,Zaid,62.6,32.24,82.8,No,0.0,Every 4-6 days
orange,Rabi,31.2,30.81,51.9,No,0.0,Every 4-6 days
chickpea,Zaid,53.7,16.65,56.8,No,0.0,Every 4-6 days
coffee,Kharif,46.8,28.69,12.5,Yes,11.29,Every 4-6 days
mothbeans,Rabi,55.3,37.08,10.7,Yes,13.09,Every 4-6 days
blackgram,Kharif,38.8,34.02,179.5,No,0.0,Every 4-6 days
mungbean,Rabi,40.8,30.56,8.0,Yes,13.85,Every 4-6 days
maize,Zaid,40.5,26.24,11.4,Yes,10.38,Every 4-6 days
muskmelon,Zaid,62.1,19.7,53.8,No,0.0,Every 4-6 days
apple,Zaid,48.8,28.12,14.5,Yes,11.45,Every 4-6 days
chickpea,Kharif,28.4,20.42,38.0,Yes,10.91,Every 4-6 days
mango,Zaid,48.5,36.79,50.6,No,0.0,Every 4-6 days
rice,Kharif,60.6,21.75,6.8,Yes,14.76,Every 1-3 days
kidneybeans,Zaid,64.7,24.85,58.0,No,0.0,Every 4-6 days
pomegranate,Rabi,44.3,25.3,28.2,Yes,11.88,Every 4-6 days
mungbean,Zaid,35.8,34.38,12.1,Yes,14.79,Every 4-6 days
orange,Kharif,44.3,24.87,59.2,No,0.0,Every 4-6 days
banana,Kharif,31.0,28.63,8.9,Yes,17.77,Every 1-3 days
jute,Zaid,39.5,26.5,75.1,No,0.0,Every 1-3 days
muskmelon,Kharif,40.9,25.52,20.4,Yes,15.64,Every 1-3 days
maize,Zaid,39.9,29.22,88.1,No,0.0,Every 4-6 days
kidneybeans,Kharif,42.1,36.5,83.0,No,0.0,Every 4-6 days
muskmelon,Zaid,44.0,29.28,14.5,Yes,17.63,Every 1-3 days
